id,year,name,park,wins,losses
498,1908,"Boston Doves","South End Grounds III",63,91
499,1908,"Chicago White Sox","South Side Park II",88,64
500,1908,"Chicago Cubs","West Side Park II",99,55
501,1908,"Cincinnati Reds","Palace of the Fans",73,81
502,1908,"Cleveland Naps","League Park I",90,64
503,1908,"Detroit Tigers","Bennett Park",90,63
504,1908,"New York Giants","Polo Grounds III",98,56
505,1908,"New York Highlanders","Hilltop Park",51,103
506,1908,"Philadelphia Athletics","Columbia Park",68,85
507,1908,"Philadelphia Phillies","Baker Bowl",83,71
508,1908,"Pittsburgh Pirates","Exposition Park",98,56
509,1908,"St. Louis Browns","Sportsman's Park III",83,69
510,1908,"St. Louis Cardinals","Robison Field",49,105
511,1908,"Washington Senators","American League Park II",67,85
512,1909,"Boston Red Sox","Huntington Avenue Grounds",88,63
513,1909,"Brooklyn Superbas","Washington Park III",55,98
514,1909,"Boston Doves","South End Grounds III",45,108
515,1909,"Chicago White Sox","South Side Park II",78,74
516,1909,"Chicago Cubs","West Side Park II",104,49
517,1909,"Cincinnati Reds","Palace of the Fans",77,76
518,1909,"Cleveland Naps","League Park I",71,82
519,1909,"Detroit Tigers","Bennett Park",98,54
520,1909,"New York Giants","Polo Grounds III",92,61
521,1909,"New York Highlanders","Hilltop Park",74,77
522,1909,"Philadelphia Athletics","Shibe Park",95,58
523,1909,"Philadelphia Phillies","Baker Bowl",74,79
524,1909,"Pittsburgh Pirates","Exposition Park/Forbes Field",110,42
525,1909,"St. Louis Browns","Sportsman's Park IV",61,89
526,1909,"St. Louis Cardinals","Robison Field",54,98
527,1909,"Washington Senators","American League Park II",42,110
528,1910,"Boston Red Sox","Huntington Avenue Grounds",81,72
529,1910,"Brooklyn Superbas","Washington Park III",64,90
530,1910,"Boston Doves","South End Grounds III",53,100
531,1910,"Chicago White Sox","South Side Park II/Comiskey Park",68,85
532,1910,"Chicago Cubs","West Side Park II",104,50
533,1910,"Cincinnati Reds","Palace of the Fans",75,79
534,1910,"Cleveland Naps","League Park II",71,81
535,1910,"Detroit Tigers","Bennett Park",86,68
536,1910,"New York Giants","Polo Grounds III",91,63
537,1910,"New York Highlanders","Hilltop Park",88,63
538,1910,"Philadelphia Athletics","Shibe Park",102,48
539,1910,"Philadelphia Phillies","Baker Bowl",78,75
540,1910,"Pittsburgh Pirates","Forbes Field",86,67
541,1910,"St. Louis Browns","Sportsman's Park IV",47,107
542,1910,"St. Louis Cardinals","Robison Field",63,90
543,1910,"Washington Senators","American League Park II",66,85
544,1911,"Boston Red Sox","Huntington Avenue Grounds",78,75
545,1911,"Brooklyn Dodgers","Washington Park III",64,86
546,1911,"Boston Rustlers","South End Grounds III",44,107
547,1911,"Chicago White Sox","Comiskey Park",77,74
548,1911,"Chicago Cubs","West Side Park II",92,62
549,1911,"Cincinnati Reds","Palace of the Fans",70,83
550,1911,"Cleveland Naps","League Park II",80,73
551,1911,"Detroit Tigers","Bennett Park",89,65
552,1911,"New York Giants","Polo Grounds III/Polo Grounds IV",99,54
553,1911,"New York Highlanders","Hilltop Park",76,76
554,1911,"Philadelphia Athletics","Shibe Park",101,50
555,1911,"Philadelphia Phillies","Baker Bowl",79,73
556,1911,"Pittsburgh Pirates","Forbes Field",85,69
557,1911,"St. Louis Browns","Sportsman's Park IV",45,107
558,1911,"St. Louis Cardinals","Robison Field",75,74
559,1911,"Washington Senators","Griffith Stadium I",64,90
560,1912,"Boston Red Sox","Fenway Park I",105,47
561,1912,"Brooklyn Dodgers","Washington Park III",58,95
562,1912,"Boston Braves","South End Grounds III",52,101
563,1912,"Chicago White Sox","Comiskey Park",78,76
564,1912,"Chicago Cubs","West Side Park II",91,59
565,1912,"Cincinnati Reds","Crosley Field",75,78
566,1912,"Cleveland Naps","League Park II",75,78
567,1912,"Detroit Tigers","Navin Field",69,84
568,1912,"New York Giants","Polo Grounds IV",103,48
569,1912,"New York Highlanders","Hilltop Park",50,102
570,1912,"Philadelphia Athletics","Shibe Park",90,62
571,1912,"Philadelphia Phillies","Baker Bowl",73,79
572,1912,"Pittsburgh Pirates","Forbes Field",93,58
573,1912,"St. Louis Browns","Sportsman's Park IV",53,101
574,1912,"St. Louis Cardinals","Robison Field",63,90
575,1912,"Washington Senators","Griffith Stadium I",91,61
576,1913,"Boston Red Sox","Fenway Park I",79,71
577,1913,"Brooklyn Superbas","Ebbets Field",65,84
578,1913,"Boston Braves","South End Grounds III",69,82
579,1913,"Chicago White Sox","Comiskey Park",78,74
580,1913,"Chicago Cubs","West Side Park II",88,65
581,1913,"Cincinnati Reds","Crosley Field",64,89
582,1913,"Cleveland Naps","League Park II",86,66
583,1913,"Detroit Tigers","Navin Field",66,87
584,1913,"New York Giants","Polo Grounds IV",101,51
585,1913,"New York Yankees","Polo Grounds IV",57,94
586,1913,"Philadelphia Athletics","Shibe Park",96,57
587,1913,"Philadelphia Phillies","Baker Bowl",88,63
588,1913,"Pittsburgh Pirates","Forbes Field",78,71
589,1913,"St. Louis Browns","Sportsman's Park IV",57,96
590,1913,"St. Louis Cardinals","Robison Field",51,99
591,1913,"Washington Senators","Griffith Stadium I",90,64
592,1914,"Baltimore Terrapins","",84,70
593,1914,"Boston Red Sox","Fenway Park I",91,62
594,1914,"Brooklyn Tip-Tops","",77,77
595,1914,"Brooklyn Robins","Ebbets Field",75,79
596,1914,"Boston Braves","South End Grounds III",94,59
597,1914,"Buffalo Buffeds","",80,71
598,1914,"Chicago White Sox","Comiskey Park",70,84
599,1914,"Chicago Chi-Feds","Wrigley Field",87,67
600,1914,"Chicago Cubs","West Side Park II",78,76
601,1914,"Cincinnati Reds","Crosley Field",60,94
602,1914,"Cleveland Naps","League Park II",51,102
603,1914,"Detroit Tigers","Navin Field",80,73
604,1914,"Indianapolis Hoosiers","",88,65
605,1914,"Kansas City Packers","",67,84
606,1914,"New York Giants","Polo Grounds IV",84,70
607,1914,"New York Yankees","Polo Grounds IV",70,84
608,1914,"Philadelphia Athletics","Shibe Park",99,53
609,1914,"Philadelphia Phillies","Baker Bowl",74,80
610,1914,"Pittsburgh Pirates","Forbes Field",69,85
611,1914,"Pittsburgh Rebels","",64,86
612,1914,"St. Louis Browns","Sportsman's Park IV",71,82
613,1914,"St. Louis Terriers","",62,89
614,1914,"St. Louis Cardinals","Robison Field",81,72
615,1914,"Washington Senators","Griffith Stadium I",81,73
616,1915,"Baltimore Terrapins","",47,107
617,1915,"Boston Red Sox","Fenway Park I",101,50
618,1915,"Brooklyn Tip-Tops","",70,82
619,1915,"Brooklyn Robins","Ebbets Field",80,72
620,1915,"Boston Braves","Fenway Park I / Braves Field",83,69
621,1915,"Buffalo Blues","",74,78
622,1915,"Chicago White Sox","Comiskey Park",93,61
623,1915,"Chicago Whales","Wrigley Field",86,66
624,1915,"Chicago Cubs","West Side Park II",73,80
625,1915,"Cincinnati Reds","Crosley Field",71,83
626,1915,"Cleveland Indians","League Park II",57,95
627,1915,"Detroit Tigers","Navin Field",100,54
628,1915,"Kansas City Packers","",81,72
629,1915,"Newark Pepper","",80,72
630,1915,"New York Giants","Polo Grounds IV",69,83
631,1915,"New York Yankees","Polo Grounds IV",69,83
632,1915,"Philadelphia Athletics","Shibe Park",43,109
633,1915,"Philadelphia Phillies","Baker Bowl",90,62
634,1915,"Pittsburgh Pirates","Forbes Field",73,81
635,1915,"Pittsburgh Rebels","",86,67
636,1915,"St. Louis Browns","Sportsman's Park IV",63,91
637,1915,"St. Louis Terriers","",87,67
638,1915,"St. Louis Cardinals","Robison Field",72,81
639,1915,"Washington Senators","Griffith Stadium I",85,68
640,1916,"Boston Red Sox","Fenway Park I",91,63
641,1916,"Brooklyn Robins","Ebbets Field",94,60
642,1916,"Boston Braves","Braves Field",89,63
643,1916,"Chicago White Sox","Comiskey Park",89,65
644,1916,"Chicago Cubs","Wrigley Field",67,86
645,1916,"Cincinnati Reds","Crosley Field",60,93
646,1916,"Cleveland Indians","League Park II",77,77
647,1916,"Detroit Tigers","Navin Field",87,67
648,1916,"New York Giants","Polo Grounds IV",86,66
649,1916,"New York Yankees","Polo Grounds IV",80,74
650,1916,"Philadelphia Athletics","Shibe Park",36,117
651,1916,"Philadelphia Phillies","Baker Bowl",91,62
652,1916,"Pittsburgh Pirates","Forbes Field",65,89
653,1916,"St. Louis Browns","Sportsman's Park IV",79,75
654,1916,"St. Louis Cardinals","Robison Field",60,93
655,1916,"Washington Senators","Griffith Stadium I",76,77
656,1917,"Boston Red Sox","Fenway Park I",90,62
657,1917,"Brooklyn Robins","Ebbets Field",70,81
658,1917,"Boston Braves","Braves Field",72,81
659,1917,"Chicago White Sox","Comiskey Park",100,54
660,1917,"Chicago Cubs","Wrigley Field",74,80
661,1917,"Cincinnati Reds","Crosley Field",78,76
662,1917,"Cleveland Indians","League Park II",88,66
663,1917,"Detroit Tigers","Navin Field",78,75
664,1917,"New York Giants","Polo Grounds IV",98,56
665,1917,"New York Yankees","Polo Grounds IV",71,82
666,1917,"Philadelphia Athletics","Shibe Park",55,98
667,1917,"Philadelphia Phillies","Baker Bowl",87,65
668,1917,"Pittsburgh Pirates","Forbes Field",51,103
669,1917,"St. Louis Browns","Sportsman's Park IV",57,97
670,1917,"St. Louis Cardinals","Robison Field",82,70
671,1917,"Washington Senators","Griffith Stadium I",74,79
672,1918,"Boston Red Sox","Fenway Park I",75,51
673,1918,"Brooklyn Robins","Ebbets Field",57,69
674,1918,"Boston Braves","Braves Field",53,71
675,1918,"Chicago White Sox","Comiskey Park",57,67
676,1918,"Chicago Cubs","Wrigley Field",84,45
677,1918,"Cincinnati Reds","Crosley Field",68,60
678,1918,"Cleveland Indians","League Park II",73,54
679,1918,"Detroit Tigers","Navin Field",55,71
680,1918,"New York Giants","Polo Grounds IV",71,53
681,1918,"New York Yankees","Polo Grounds IV",60,63
682,1918,"Philadelphia Athletics","Shibe Park",52,76
683,1918,"Philadelphia Phillies","Baker Bowl",55,68
684,1918,"Pittsburgh Pirates","Forbes Field",65,60
685,1918,"St. Louis Browns","Sportsman's Park IV",58,64
686,1918,"St. Louis Cardinals","Robison Field",51,78
687,1918,"Washington Senators","Griffith Stadium I",72,56
688,1919,"Boston Red Sox","Fenway Park I",66,71
689,1919,"Brooklyn Robins","Ebbets Field",69,71
690,1919,"Boston Braves","Braves Field",57,82
691,1919,"Chicago White Sox","Comiskey Park",88,52
692,1919,"Chicago Cubs","Wrigley Field",75,65
693,1919,"Cincinnati Reds","Crosley Field",96,44
694,1919,"Cleveland Indians","League Park II",84,55
695,1919,"Detroit Tigers","Navin Field",80,60
696,1919,"New York Giants","Polo Grounds IV",87,53
697,1919,"New York Yankees","Polo Grounds IV",80,59
698,1919,"Philadelphia Athletics","Shibe Park",36,104
699,1919,"Philadelphia Phillies","Baker Bowl",47,90
700,1919,"Pittsburgh Pirates","Forbes Field",71,68
701,1919,"St. Louis Browns","Sportsman's Park IV",67,72
702,1919,"St. Louis Cardinals","Robison Field",54,83
703,1919,"Washington Senators","Griffith Stadium I",56,84
704,1920,"Boston Red Sox","Fenway Park I",72,81
705,1920,"Brooklyn Robins","Ebbets Field",93,61
706,1920,"Boston Braves","Braves Field",62,90
707,1920,"Chicago White Sox","Comiskey Park",96,58
708,1920,"Chicago Cubs","Wrigley Field",75,79
709,1920,"Cincinnati Reds","Crosley Field",82,71
710,1920,"Cleveland Indians","League Park II",98,56
711,1920,"Detroit Tigers","Navin Field",61,93
712,1920,"New York Giants","Polo Grounds IV",86,68
713,1920,"New York Yankees","Polo Grounds IV",95,59
714,1920,"Philadelphia Athletics","Shibe Park",48,106
715,1920,"Philadelphia Phillies","Baker Bowl",62,91
716,1920,"Pittsburgh Pirates","Forbes Field",79,75
717,1920,"St. Louis Browns","Sportsman's Park IV",76,77
718,1920,"St. Louis Cardinals","Robison Field/Sportsman's Park IV",75,79
719,1920,"Washington Senators","Griffith Stadium I",68,84
720,1921,"Boston Red Sox","Fenway Park I",75,79
721,1921,"Brooklyn Robins","Ebbets Field",77,75
722,1921,"Boston Braves","Braves Field",79,74
723,1921,"Chicago White Sox","Comiskey Park",62,92
724,1921,"Chicago Cubs","Wrigley Field",64,89
725,1921,"Cincinnati Reds","Crosley Field",70,83
726,1921,"Cleveland Indians","League Park II",94,60
727,1921,"Detroit Tigers","Navin Field",71,82
728,1921,"New York Giants","Polo Grounds IV",94,59
729,1921,"New York Yankees","Polo Grounds IV",98,55
730,1921,"Philadelphia Athletics","Shibe Park",53,100
731,1921,"Philadelphia Phillies","Baker Bowl",51,103
732,1921,"Pittsburgh Pirates","Forbes Field",90,63
733,1921,"St. Louis Browns","Sportsman's Park IV",81,73
734,1921,"St. Louis Cardinals","Sportsman's Park IV",87,66
735,1921,"Washington Senators","Griffith Stadium I",80,73
736,1922,"Boston Red Sox","Fenway Park I",61,93
737,1922,"Brooklyn Robins","Ebbets Field",76,78
738,1922,"Boston Braves","Braves Field",53,100
739,1922,"Chicago White Sox","Comiskey Park",77,77
740,1922,"Chicago Cubs","Wrigley Field",80,74
741,1922,"Cincinnati Reds","Crosley Field",86,68
742,1922,"Cleveland Indians","League Park II",78,76
743,1922,"Detroit Tigers","Navin Field",79,75
744,1922,"New York Giants","Polo Grounds IV",93,61
745,1922,"New York Yankees","Polo Grounds IV",94,60
746,1922,"Philadelphia Athletics","Shibe Park",65,89
747,1922,"Philadelphia Phillies","Baker Bowl",57,96
748,1922,"Pittsburgh Pirates","Forbes Field",85,69
749,1922,"St. Louis Browns","Sportsman's Park IV",93,61
750,1922,"St. Louis Cardinals","Sportsman's Park IV",85,69
751,1922,"Washington Senators","Griffith Stadium I",69,85
752,1923,"Boston Red Sox","Fenway Park I",61,91
753,1923,"Brooklyn Robins","Ebbets Field",76,78
754,1923,"Boston Braves","Braves Field",54,100
755,1923,"Chicago White Sox","Comiskey Park",69,85
756,1923,"Chicago Cubs","Wrigley Field",83,71
757,1923,"Cincinnati Reds","Crosley Field",91,63
758,1923,"Cleveland Indians","League Park II",82,71
759,1923,"Detroit Tigers","Navin Field",83,71
760,1923,"New York Giants","Polo Grounds IV",95,58
761,1923,"New York Yankees","Yankee Stadium I",98,54
762,1923,"Philadelphia Athletics","Shibe Park",69,83
763,1923,"Philadelphia Phillies","Baker Bowl",50,104
764,1923,"Pittsburgh Pirates","Forbes Field",87,67
765,1923,"St. Louis Browns","Sportsman's Park IV",74,78
766,1923,"St. Louis Cardinals","Sportsman's Park IV",79,74
767,1923,"Washington Senators","Griffith Stadium I",75,78
768,1924,"Boston Red Sox","Fenway Park I",67,87
769,1924,"Brooklyn Robins","Ebbets Field",92,62
770,1924,"Boston Braves","Braves Field",53,100
771,1924,"Chicago White Sox","Comiskey Park",66,87
772,1924,"Chicago Cubs","Wrigley Field",81,72
773,1924,"Cincinnati Reds","Crosley Field",83,70
774,1924,"Cleveland Indians","League Park II",67,86
775,1924,"Detroit Tigers","Navin Field",86,68
776,1924,"New York Giants","Polo Grounds IV",93,60
777,1924,"New York Yankees","Yankee Stadium I",89,63
778,1924,"Philadelphia Athletics","Shibe Park",71,81
779,1924,"Philadelphia Phillies","Baker Bowl",55,96
780,1924,"Pittsburgh Pirates","Forbes Field",90,63
781,1924,"St. Louis Browns","Sportsman's Park IV",74,78
782,1924,"St. Louis Cardinals","Sportsman's Park IV",65,89
783,1924,"Washington Senators","Griffith Stadium I",92,62
784,1925,"Boston Red Sox","Fenway Park I",47,105
785,1925,"Brooklyn Robins","Ebbets Field",68,85
786,1925,"Boston Braves","Braves Field",70,83
787,1925,"Chicago White Sox","Comiskey Park",79,75
788,1925,"Chicago Cubs","Wrigley Field",68,86
789,1925,"Cincinnati Reds","Crosley Field",80,73
790,1925,"Cleveland Indians","League Park II",70,84
791,1925,"Detroit Tigers","Navin Field",81,73
792,1925,"New York Giants","Polo Grounds IV",86,66
793,1925,"New York Yankees","Yankee Stadium I",69,85
794,1925,"Philadelphia Athletics","Shibe Park",88,64
795,1925,"Philadelphia Phillies","Baker Bowl",68,85
796,1925,"Pittsburgh Pirates","Forbes Field",95,58
797,1925,"St. Louis Browns","Sportsman's Park IV",82,71
798,1925,"St. Louis Cardinals","Sportsman's Park IV",77,76
799,1925,"Washington Senators","Griffith Stadium I",96,55
800,1926,"Boston Red Sox","Fenway Park I",46,107
801,1926,"Brooklyn Robins","Ebbets Field",71,82
802,1926,"Boston Braves","Braves Field",66,86
803,1926,"Chicago White Sox","Comiskey Park",81,72
804,1926,"Chicago Cubs","Wrigley Field",82,72
805,1926,"Cincinnati Reds","Crosley Field",87,67
806,1926,"Cleveland Indians","League Park II",88,66
807,1926,"Detroit Tigers","Navin Field",79,75
808,1926,"New York Giants","Polo Grounds IV",74,77
809,1926,"New York Yankees","Yankee Stadium I",91,63
810,1926,"Philadelphia Athletics","Shibe Park",83,67
811,1926,"Philadelphia Phillies","Baker Bowl",58,93
812,1926,"Pittsburgh Pirates","Forbes Field",84,69
813,1926,"St. Louis Browns","Sportsman's Park IV",62,92
814,1926,"St. Louis Cardinals","Sportsman's Park IV",89,65
815,1926,"Washington Senators","Griffith Stadium I",81,69
816,1927,"Boston Red Sox","Fenway Park I",51,103
817,1927,"Brooklyn Robins","Ebbets Field",65,88
818,1927,"Boston Braves","Braves Field",60,94
819,1927,"Chicago White Sox","Comiskey Park",70,83
820,1927,"Chicago Cubs","Wrigley Field",85,68
821,1927,"Cincinnati Reds","Crosley Field",75,78
822,1927,"Cleveland Indians","League Park II",66,87
823,1927,"Detroit Tigers","Navin Field",82,71
824,1927,"New York Giants","Polo Grounds IV",92,62
825,1927,"New York Yankees","Yankee Stadium I",110,44
826,1927,"Philadelphia Athletics","Shibe Park",91,63
827,1927,"Philadelphia Phillies","Baker Bowl",51,103
828,1927,"Pittsburgh Pirates","Forbes Field",94,60
829,1927,"St. Louis Browns","Sportsman's Park IV",59,94
830,1927,"St. Louis Cardinals","Sportsman's Park IV",92,61
831,1927,"Washington Senators","Griffith Stadium I",85,69
832,1928,"Boston Red Sox","Fenway Park I",57,96
833,1928,"Brooklyn Robins","Ebbets Field",77,76
834,1928,"Boston Braves","Braves Field",50,103
835,1928,"Chicago White Sox","Comiskey Park",72,82
836,1928,"Chicago Cubs","Wrigley Field",91,63
837,1928,"Cincinnati Reds","Crosley Field",78,74
838,1928,"Cleveland Indians","League Park II",62,92
839,1928,"Detroit Tigers","Navin Field",68,86
840,1928,"New York Giants","Polo Grounds IV",93,61
841,1928,"New York Yankees","Yankee Stadium I",101,53
842,1928,"Philadelphia Athletics","Shibe Park",98,55
843,1928,"Philadelphia Phillies","Baker Bowl",43,109
844,1928,"Pittsburgh Pirates","Forbes Field",85,67
845,1928,"St. Louis Browns","Sportsman's Park IV",82,72
846,1928,"St. Louis Cardinals","Sportsman's Park IV",95,59
847,1928,"Washington Senators","Griffith Stadium I",75,79
848,1929,"Boston Red Sox","Fenway Park I",58,96
849,1929,"Brooklyn Robins","Ebbets Field",70,83
850,1929,"Boston Braves","Braves Field",56,98
851,1929,"Chicago White Sox","Comiskey Park",59,93
852,1929,"Chicago Cubs","Wrigley Field",98,54
853,1929,"Cincinnati Reds","Crosley Field",66,88
854,1929,"Cleveland Indians","League Park II",81,71
855,1929,"Detroit Tigers","Navin Field",70,84
856,1929,"New York Giants","Polo Grounds IV",84,67
857,1929,"New York Yankees","Yankee Stadium I",88,66
858,1929,"Philadelphia Athletics","Shibe Park",104,46
859,1929,"Philadelphia Phillies","Baker Bowl",71,82
860,1929,"Pittsburgh Pirates","Forbes Field",88,65
861,1929,"St. Louis Browns","Sportsman's Park IV",79,73
862,1929,"St. Louis Cardinals","Sportsman's Park IV",78,74
863,1929,"Washington Senators","Griffith Stadium I",71,81
864,1930,"Boston Red Sox","Fenway Park I",52,102
865,1930,"Brooklyn Robins","Ebbets Field",86,68
866,1930,"Boston Braves","Braves Field",70,84
867,1930,"Chicago White Sox","Comiskey Park",62,92
868,1930,"Chicago Cubs","Wrigley Field",90,64
869,1930,"Cincinnati Reds","Crosley Field",59,95
870,1930,"Cleveland Indians","League Park II",81,73
871,1930,"Detroit Tigers","Navin Field",75,79
872,1930,"New York Giants","Polo Grounds IV",87,67
873,1930,"New York Yankees","Yankee Stadium I",86,68
874,1930,"Philadelphia Athletics","Shibe Park",102,52
875,1930,"Philadelphia Phillies","Baker Bowl",52,102
876,1930,"Pittsburgh Pirates","Forbes Field",80,74
877,1930,"St. Louis Browns","Sportsman's Park IV",64,90
878,1930,"St. Louis Cardinals","Sportsman's Park IV",92,62
879,1930,"Washington Senators","Griffith Stadium I",94,60
880,1931,"Boston Red Sox","Fenway Park I",62,90
881,1931,"Brooklyn Robins","Ebbets Field",79,73
882,1931,"Boston Braves","Braves Field",64,90
883,1931,"Chicago White Sox","Comiskey Park",56,97
884,1931,"Chicago Cubs","Wrigley Field",84,70
885,1931,"Cincinnati Reds","Crosley Field",58,96
886,1931,"Cleveland Indians","League Park II",78,76
887,1931,"Detroit Tigers","Navin Field",61,93
888,1931,"New York Giants","Polo Grounds IV",87,65
889,1931,"New York Yankees","Yankee Stadium I",94,59
890,1931,"Philadelphia Athletics","Shibe Park",107,45
891,1931,"Philadelphia Phillies","Baker Bowl",66,88
892,1931,"Pittsburgh Pirates","Forbes Field",75,79
893,1931,"St. Louis Browns","Sportsman's Park IV",63,91
894,1931,"St. Louis Cardinals","Sportsman's Park IV",101,53
895,1931,"Washington Senators","Griffith Stadium I",92,62
896,1932,"Boston Red Sox","Fenway Park I",43,111
897,1932,"Brooklyn Dodgers","Ebbets Field",81,73
898,1932,"Boston Braves","Braves Field",77,77
899,1932,"Chicago White Sox","Comiskey Park",49,102
900,1932,"Chicago Cubs","Wrigley Field",90,64
901,1932,"Cincinnati Reds","Crosley Field",60,94
902,1932,"Cleveland Indians","League Park II/Cleveland Stadium",87,65
903,1932,"Detroit Tigers","Navin Field",76,75
904,1932,"New York Giants","Polo Grounds IV",72,82
905,1932,"New York Yankees","Yankee Stadium I",107,47
906,1932,"Philadelphia Athletics","Shibe Park",94,60
907,1932,"Philadelphia Phillies","Baker Bowl",78,76
908,1932,"Pittsburgh Pirates","Forbes Field",86,68
909,1932,"St. Louis Browns","Sportsman's Park IV",63,91
910,1932,"St. Louis Cardinals","Sportsman's Park IV",72,82
911,1932,"Washington Senators","Griffith Stadium I",93,61
912,1933,"Boston Red Sox","Fenway Park I",63,86
913,1933,"Brooklyn Dodgers","Ebbets Field",65,88
914,1933,"Boston Braves","Braves Field",83,71
915,1933,"Chicago White Sox","Comiskey Park",67,83
916,1933,"Chicago Cubs","Wrigley Field",86,68
917,1933,"Cincinnati Reds","Crosley Field",58,94
918,1933,"Cleveland Indians","League Park II/Cleveland Stadium",75,76
919,1933,"Detroit Tigers","Navin Field",75,79
920,1933,"New York Giants","Polo Grounds IV",91,61
921,1933,"New York Yankees","Yankee Stadium I",91,59
922,1933,"Philadelphia Athletics","Shibe Park",79,72
923,1933,"Philadelphia Phillies","Baker Bowl",60,92
924,1933,"Pittsburgh Pirates","Forbes Field",87,67
925,1933,"St. Louis Browns","Sportsman's Park IV",55,96
926,1933,"St. Louis Cardinals","Sportsman's Park IV",82,71
927,1933,"Washington Senators","Griffith Stadium I",99,53
928,1934,"Boston Red Sox","Fenway Park II",76,76
929,1934,"Brooklyn Dodgers","Ebbets Field",71,81
930,1934,"Boston Braves","Braves Field",78,73
931,1934,"Chicago White Sox","Comiskey Park",53,99
932,1934,"Chicago Cubs","Wrigley Field",86,65
933,1934,"Cincinnati Reds","Crosley Field",52,99
934,1934,"Cleveland Indians","League Park II/Cleveland Stadium",85,69
935,1934,"Detroit Tigers","Navin Field",101,53
936,1934,"New York Giants","Polo Grounds IV",93,60
937,1934,"New York Yankees","Yankee Stadium I",94,60
938,1934,"Philadelphia Athletics","Shibe Park",68,82
939,1934,"Philadelphia Phillies","Baker Bowl",56,93
940,1934,"Pittsburgh Pirates","Forbes Field",74,76
941,1934,"St. Louis Browns","Sportsman's Park IV",67,85
942,1934,"St. Louis Cardinals","Sportsman's Park IV",95,58
943,1934,"Washington Senators","Griffith Stadium I",66,86
944,1935,"Boston Red Sox","Fenway Park II",78,75
945,1935,"Brooklyn Dodgers","Ebbets Field",70,83
946,1935,"Boston Braves","Braves Field",38,115
947,1935,"Chicago White Sox","Comiskey Park",74,78
948,1935,"Chicago Cubs","Wrigley Field",100,54
949,1935,"Cincinnati Reds","Crosley Field",68,85
950,1935,"Cleveland Indians","League Park II/Cleveland Stadium",82,71
951,1935,"Detroit Tigers","Navin Field",93,58
952,1935,"New York Giants","Polo Grounds IV",91,62
953,1935,"New York Yankees","Yankee Stadium I",89,60
954,1935,"Philadelphia Athletics","Shibe Park",58,91
955,1935,"Philadelphia Phillies","Baker Bowl",64,89
956,1935,"Pittsburgh Pirates","Forbes Field",86,67
957,1935,"St. Louis Browns","Sportsman's Park IV",65,87
958,1935,"St. Louis Cardinals","Sportsman's Park IV",96,58
959,1935,"Washington Senators","Griffith Stadium I",67,86
960,1936,"Boston Red Sox","Fenway Park II",74,80
961,1936,"Brooklyn Dodgers","Ebbets Field",67,87
962,1936,"Boston Bees","Braves Field",71,83
963,1936,"Chicago White Sox","Comiskey Park",81,70
964,1936,"Chicago Cubs","Wrigley Field",87,67
965,1936,"Cincinnati Reds","Crosley Field",74,80
966,1936,"Cleveland Indians","League Park II/Cleveland Stadium",80,74
967,1936,"Detroit Tigers","Navin Field",83,71
968,1936,"New York Giants","Polo Grounds IV",92,62
969,1936,"New York Yankees","Yankee Stadium I",102,51
970,1936,"Philadelphia Athletics","Shibe Park",53,100
971,1936,"Philadelphia Phillies","Baker Bowl",54,100
972,1936,"Pittsburgh Pirates","Forbes Field",84,70
973,1936,"St. Louis Browns","Sportsman's Park IV",57,95
974,1936,"St. Louis Cardinals","Sportsman's Park IV",87,67
975,1936,"Washington Senators","Griffith Stadium I",82,71
976,1937,"Boston Red Sox","Fenway Park II",80,72
977,1937,"Brooklyn Dodgers","Ebbets Field",62,91
978,1937,"Boston Bees","Braves Field",79,73
979,1937,"Chicago White Sox","Comiskey Park",86,68
980,1937,"Chicago Cubs","Wrigley Field",93,61
981,1937,"Cincinnati Reds","Crosley Field",56,98
982,1937,"Cleveland Indians","League Park II/Cleveland Stadium",83,71
983,1937,"Detroit Tigers","Navin Field",89,65
984,1937,"New York Giants","Polo Grounds IV",95,57
985,1937,"New York Yankees","Yankee Stadium I",102,52
986,1937,"Philadelphia Athletics","Shibe Park",54,97
987,1937,"Philadelphia Phillies","Baker Bowl",61,92
988,1937,"Pittsburgh Pirates","Forbes Field",86,68
989,1937,"St. Louis Browns","Sportsman's Park IV",46,108
990,1937,"St. Louis Cardinals","Sportsman's Park IV",81,73
991,1937,"Washington Senators","Griffith Stadium I",73,80
992,1938,"Boston Red Sox","Fenway Park II",88,61
993,1938,"Brooklyn Dodgers","Ebbets Field",69,80
994,1938,"Boston Bees","Braves Field",77,75
995,1938,"Chicago White Sox","Comiskey Park",65,83
996,1938,"Chicago Cubs","Wrigley Field",89,63
997,1938,"Cincinnati Reds","Crosley Field",82,68
998,1938,"Cleveland Indians","League Park II/Cleveland Stadium",86,66
999,1938,"Detroit Tigers","Briggs Stadium",84,70
1000,1938,"New York Giants","Polo Grounds IV",83,67
1001,1938,"New York Yankees","Yankee Stadium I",99,53
1002,1938,"Philadelphia Athletics","Shibe Park",53,99
1003,1938,"Philadelphia Phillies","Baker Bowl/Shibe Park",45,105
1004,1938,"Pittsburgh Pirates","Forbes Field",86,64
1005,1938,"St. Louis Browns","Sportsman's Park IV",55,97
1006,1938,"St. Louis Cardinals","Sportsman's Park IV",71,80
1007,1938,"Washington Senators","Griffith Stadium I",75,76
1008,1939,"Boston Red Sox","Fenway Park II",89,62
1009,1939,"Brooklyn Dodgers","Ebbets Field",84,69
